id|raised_round|severity|status|invariant|title|evidence|targets|replayed|subject|subject_note
FE-CE-011|R003|minor|CLOSED|live-default-subscribe is presented as a distinct core mechanism but is only a parameter default; making from_cursor explicit and having the pair-gesture mint supply cursor.resolve(id) preserves S08/FE-CE-005 without an implicit-default primitive|implicit-subscribe-default is not a load-bearing mechanism|rounds/R003/cand-A.md §R003.2 Event stream (default current cursor) + §R003.4 pair gesture (host mints h_R) vs §R003.6/R003.5-S08 step4 ; rounds/R003/verify.md (holds); best candidate §R4.2/§R4.4 from_cursor mandatory, pair-mint passes current cursor ; from_cursor mandatory §R7.2|FE-CE-005|R008|A-lineage|R003 D08 against A
FE-CE-012|R006|major|CLOSED|host dedup by (ns,resource,seq) is vacuous: seq is host-assigned monotonic per resource, so no two envelopes for the same resource ever share a key; the dedup predicate is false for all inputs|host dedup key has no collision domain|rounds/R006/cand-A.md §R6.5-S09 step2 "host dedups/reorders by (ns,resource,seq)" vs §R6.2 "seq host-assigned monotonic per resource" ; verifier ruled it holds (RR006) ; rounds/R006/cand-A.md §R6.2 (seq = stream index, not dedup key) + §R6.5-S09 + §R6.6 ; seq=stream index; adapter dedups own id §R7.2/§R7.5-S09|-|R011|A-lineage|R006 D01 against the saved candidate A
FE-CE-013|R006|major|CLOSED|adapter boundary rule R6.3 item7 instructs dedup by (ns_id, resource_local_id, seq) but seq is host-assigned and not returned to the adapter at pump time, making the rule unimplementable or a core-internal leak into the adapter contract|adapter cannot dedup by an opaque host counter|rounds/R006/cand-A.md §R6.3 item7 vs §R6.2 Event stream (host-assigned seq, no pump return specified) ; verifier ruled it holds (RR006) ; rounds/R006/cand-A.md §R6.3 item6 + §R6.7 item6 ; adapter dedups own stable id §R7.3 item6|FE-CE-012|R011|A-lineage|R006 D01 against the saved candidate A
FE-CE-014|R006|major|CLOSED|host "reorders by (ns,resource,seq)" is identity since the host assigned seq in arrival order; S09's out-of-order premise has no core correction mechanism|reorder-by-self-assigned-seq is a no-op|rounds/R006/cand-A.md §R6.5-S09 step2 "dedups/reorders by (ns,resource,seq)" + §R6.2 "seq host-assigned monotonic" + §R6.3 item3 "seq-ordered pump" ; verifier ruled it holds (RR006) ; rounds/R006/cand-A.md §R6.3 item3 + §R6.5-S09 + §R6.6 ; adapter pumps logical order §R7.5-S09 step3|-|R011|A-lineage|R006 D01 against the saved candidate A
FE-CE-015|R007|major|REJECTED|one subscribe(from_cursor=cursor.resolve(id)) declaration promised both replay-missed and live-not-replayed|cursor double-duty resolved by distinct subscriber inputs|rounds/R007 §A.1/§A.6 EXPERIMENT both=[]; catch-up saved+1 vs live resolve not one declaration ; verifier ruled it does not hold (RR007) ; RR007 does_not_hold: catch-up=saved+1, live=resolve, head=0 distinct integers §R7.2/§R7.6 EXPERIMENT|-|R008|A-lineage|R007 ordering claim against cand-A
FE-CE-016|R007|major|CLOSED|from_cursor=cursor.resolve() on a freshly-spawned resource drops any envelope the adapter pumped between spawn and the resolve call|fresh-resource live-edge subscribe silently loses head envelope seq=1|rounds/R007 §A.5-S04 step2 / §A.5-S08 step6 vs §A.1 single rule + §A.6 (from_cursor=0 forbidden for S08 step5) ; verifier ruled it holds (RR007) ; §R7.2 "just-spawned → from_cursor=0"; §R7.5-S04 step2 / §R7.5-S08 step6 job subscribe from_cursor=0; replay names spawn→pump seq=1→subscribe(0) delivers head|FE-CE-015|R011|A-lineage|raised in R007 against cand-A with §A anchors
FE-CE-017|R007|major|CLOSED|saved_last_seen is bound to one ns_id's numbering but a full reconnect mints a new ns_id whose stream restarts, so re-subscribing saved+1 skips the return-window events|persisted catch-up cursor invalid across namespace regeneration|rounds/R007 §A.2 (full reconnect=new ns_id; seq per-resource) vs §A.5-S03 step4/S09/S10 + §A.7 5-core-facts omission ; verifier ruled it holds (RR007) ; §R7.2 guard "recorded_ns_id==current else 0"; §R7.5-S03 step4/S09/S10; §R7.7 core fact #6; replay names ns_A save20→full reconnect ns_B→from_cursor=0 delivers 1..5|FE-CE-015|R011|A-lineage|raised in R007 against cand-A with §A anchors
FE-CE-018|R008|major|CLOSED|every operation the adapter must perform is expressed in the typed interface; §2 lists type signatures as the adapter contract|adapter event-pump operation has no typed interface — §3 item 3 and all §5 scenario tables reference "pump" but §2 NamespaceHandle exposes no pump/emit method|rounds/R008/cand-A.md §2 code block (no pump method on NamespaceHandle) vs §3 item 3 "pump events in remote-stable logical order" vs §5 S01 step4 / S04 step4 / S02 step3 / S03 step3 ; verifier ruled it holds (RR008) ; §R8.2 NamespaceHandle.pump typed; sequence open→announce→register→pump viable ; rounds/R009/cand-A.md §2 + §6 FE-CE-018 re-check|FE-CE-007|R011
FE-CE-019|R009|major|CLOSED|the read-result path must render every InvokeOutcome variant truthfully; §4 Q1 gives rules only for Result and CapabilityAbsent, so a dropped read (OutcomeUnknown) shows stale prior rows as the current value, the exact hide-uncertainty disqualifier the candidate forbids for status|read-OutcomeUnknown has no fallback rule: stale value presented as current|rounds/R009/cand-A.md §4 Q1 vs §4 Q3 + §2 InvokeOutcome ; verifier ruled it holds (RR010) ; §R11.5 four-variant table with the single invariant applying to both the value and the state channel; prior rows survive only as last-confirmed evidence with a banner and Retry; EXPERIMENT R11-B asserts the stale-as-current rendering is impossible ; §R11.5 four-variant table with the single invariant applying to both the value and the state channel; prior rows survive only as last-confirmed evidence with a banner and Retry; EXPERIMENT R11-B asserts the stale-as-current rendering is impossible|-|R011
FE-CE-020|R009|major|CLOSED|GenericWalk is total over values that conform to the declared schema; a partial (missing declared field) or null-for-list Result reopens §5 S05 step7's crash-or-fake-complete fork this round claims closed, silently dropping a real deletions count or replacing the pane via error boundary|non-conforming Result renders fake-complete or blank, silently wrong value|rounds/R009/cand-A.md §2 GenericWalk contract + §5 S05 step7 ; verifier ruled it holds (RR010) ; §R11.5 totality rule: explicit (absent at runtime) and (unreadable: declared shape) rows; the walk never throws and never replaces the pane; EXPERIMENT R11-C covers conforming/partial/null-list/nested ; §R11.5 totality rule: explicit (absent at runtime) and (unreadable: declared shape) rows; the walk never throws and never replaces the pane; EXPERIMENT R11-C covers conforming/partial/null-list/nested|-|R011
FE-CE-021|R009|minor|CLOSED|the default view must render declared (non-opaque) content to its depth; GenericWalk has no branch for a nested list field inside a record → `[object Object]` or silent omission, and §3/§7 make the adapter pre-flatten to the host's private walk depth, leaking a core internal into the adapter schema contract|nested declared schema mis-renders + renderer-depth core leak|rounds/R009/cand-A.md §3 D05 clause + §7 item6 + §2 walk cases ; verifier ruled it holds (RR010) ; §R11.5 recursive path-labelled walk to any depth plus deletion of the adapter flat-schema obligation; EXPERIMENT R11-C asserts nested paths render and that no depth constant exists ; §R11.5 recursive path-labelled walk to any depth plus deletion of the adapter flat-schema obligation; EXPERIMENT R11-C asserts nested paths render and that no depth constant exists|-|R011
FE-CE-022|R011|major|CLOSED|delivery is defined as replay of stored envelopes while the mechanism ledger declares the host event store removed — the fact of which events exist for a resource has two contradicting owners, and either resolution breaks a claimed property (unnamed unbounded core buffer with no retention rule, or an empty catch-up guarantee that fails S03/S04/S09/S10)|replay promise has no owner: no party in the candidate retains the envelopes that from_cursor catch-up is defined to deliver|rounds/R011/attack.md FE-CE-022 vs candidates/best.md §R8.1 and §R8.2 line 50 and §R8.5-S03 steps 1 3 4 and mechanisms.tsv row host-event-store ; verifier ruled it holds (RR011) ; §R11.3 names the cursor-stream log as the retained store with resource-lifetime retention, and replaces the false host-event-store removed row with cursor-stream-log core; EXPERIMENT R11-A ; §R11.3 names the cursor-stream log as the retained store with resource-lifetime retention, and replaces the false host-event-store removed row with cursor-stream-log core; EXPERIMENT R11-A|-/-|R011
FE-CE-023|R011|major|CLOSED|the host is authoritative for a resource's existence, but existence can only be retracted by the producing adapter via retire or teardown, so a link drop without teardown leaves the directory and the fallback's action list asserting a live cancelable resource that no reachable service can support indefinitely|namespace death has no owner: presence is asserted without any party able to retract it|rounds/R011/attack.md FE-CE-023 vs candidates/best.md §R8.2 existence authority and §R8.3 item 7 and §R8.4 fallback actions and §R8.5-S11 ; verifier ruled it holds (RR011) ; §R11.4 narrows existence to announced-and-not-retired, adds adapter boundary rule 8 teardown-on-observed-loss, renders OutcomeUnknown actions as unconfirmed, and declares the hard-killed-adapter residual ; §R11.4 narrows existence to announced-and-not-retired, adds adapter boundary rule 8 teardown-on-observed-loss, renders OutcomeUnknown actions as unconfirmed, and declares the hard-killed-adapter residual|-/-|R011
FE-CE-024|R011|major|CLOSED|the candidate's catch-up guarantee over retained envelopes must be consistent with its own envelope-lifetime rule|envelope disposal on subscription close emptied exactly the backlog catch-up replays|§R11.3 replaces the disposal clause: a closed subscription releases a reference, not a log entry; retire/teardown is the sole disposal point; EXPERIMENT R11-A shows 0 versus 15 caught-up envelopes ; §R11.3 replaces the disposal clause: a closed subscription releases a reference, not a log entry; retire/teardown is the sole disposal point; EXPERIMENT R11-A shows 0 versus 15 caught-up envelopes|-|R011
