mechanism|disposition|failure_scenario|experiment_ref|round
generic-walk-totality|core|FE-CE-020 partial result renders fake-complete|EXPERIMENT R11-C|13
recursive-path-labelled-walk|core|FE-CE-021 nested schema mis-renders|EXPERIMENT R11-C|13
presence-is-not-reachability|core|FE-CE-023 dead producer advertises live capacity|§R13.4|13
from-cursor input-selection|core|FE-CE-025: choosing the live edge for a resource this extension just created pumps the events above the replay filter / S04 step6 spawned head loss FE-CE-016 / ns-regen skip FE-CE-017|EXPERIMENT R12-B|12
per-namespace action typing|core|S06 step5 shared mutable key -> FE-CE-006 reopens|§R11.6|12
envelope-dropped-on-subscription-close|removed|FE-CE-024 — retaining it empties catch-up|EXPERIMENT R11-A|13
adapter-flat-schema-obligation|removed|none — recursive total walk makes it unnecessary|EXPERIMENT R11-C|13
host-dedup / host-reorder-by-seq|removed|none — vacuous under arrival index; adapter dedups own id|§R13.7-S09|13
invoke_id on OutcomeUnknown|removed|none — no auto-resubmit and no consumer|§R11.7-S09|12
resource-incarnation-burn|core|FE-CE-027 stale cursor renders complete|EXPERIMENT R12-A|13
view-scope-minting|core|FE-CE-026 no scope to be scoped to|EXPERIMENT R12-C|13
extension-selection|core|S07 step7 / S12 step3: with no selection rule an unclaimed schema has no renderer (blank pane) and an uninstalled view keeps claiming it|§R11.5|12
capability-declaration (open CapMap)|core|S11 step1 absence inferred from null→fake-support|EXPERIMENT R11-B|13
four/five-variant-outcome-rendering|core|FE-CE-019/023/032 unconfirmed or absent rendered current|EXPERIMENT R11-B|13
schema-declaration-grammar (SchemaDecl)|core|FE-CE-033 totality claims undecidable|EXPERIMENT R11-C|13
extension-selection (namespaced claim table + on_claim_changed)|core|S07 step7 / S12 step3 unclaimed schema blank, silent swap (FE-CE-034/035)|§R13.5|13
subscription-termination-signal (onEnd)|core|FE-CE-037 retired resource stays labelled current|EXPERIMENT R13-C|13
spawn-announce-before-result|core|FE-CE-031 spawned head unreachable|EXPERIMENT R13-D|13
transient-vs-permanent-loss-split|core|FE-CE-029 same-ns catch-up unreachable after loss|EXPERIMENT R13-B|13
total-api-state-rendering|core|FE-CE-032/037 a view receives a state it cannot render|§R13.5|13
