round|digest|kind|id|verdict|evidence
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|ce|FE-CE-003|pass|adapter writes a CapMap string, host reads it to toggle auto-replay
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|ce|FE-CE-004|pass|runner invoke spawns (ns_R,job) but the view has no subscription path for it
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|ce|FE-CE-005|pass|pair gesture → secondary handle subscribes from seq 0 → stale ArtifactReady auto-fires execute
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|ce|FE-CE-006|pass|two adapters register the same bare payload_schema_id string, cross-contaminating type
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|ce|FE-CE-007|pass|edges.list(ns) returns a foreign target_namespace_id into a scoped handle, enabling adapter-authorized user-less relay
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S01|insufficient_evidence|§R.5-S01 gives an ordered 5-step sequence with per-step owners, but no deletion consequence for its core steps exists in §R.5 or §R.6 (which map namespaces→S06, typed-action→S08, ordered-stream→S03/S09)
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S02|insufficient_evidence|§R.5-S02 lists ordered steps with owners (adapter/host/extension) but carries no per-core-step deletion consequence, and §R.6 names no mechanism to S02
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S03|trajectory_ok|§R.5-S03 ordered steps 1–4 with owners + §R.6 ordered-replayable-stream→"S03 step 4 no return-later catch-up"
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S04|insufficient_evidence|§R.5-S04 has ordered steps+owners but no deletion consequence for its live core steps; §R.6's "host-session-object removed" entry is a reduction of a removed item, not a consequence for S04
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S05|trajectory_ok|§R.5-S05 steps 1–3 with owners + §R.6 resource-directory→"S05 step 2 cannot list/lookup without session"
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S06|trajectory_ok|§R.5-S06 ordered 6 steps + explicit "Deletion: remove namespaces→collide; ns-scoped registry→bleed; scope-check→leak"
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S07|trajectory_ok|§R.5-S07 + §R.6 generic-fallback-view→"S07 step 2 unknown artefact renders blank"
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S08|trajectory_ok|§R.5-S08 ordered 7 steps + §R.6 typed-action→S08 step5, spawned-resource-grant→S08 step6, live-default-subscribe→S08 step5
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S09|trajectory_ok|§R.5-S09 ordered 3 steps + explicit "Deletion: remove typed ReplayPolicy → FE-CE-003 reopens" and §R.6 ordered-stream→S09 step2
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S10|insufficient_evidence|§R.5-S10 has ordered steps+owners; its core step (host force-closes handles incl. spawned set on unmount) has no deletion consequence anywhere in §R.6
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S11|trajectory_ok|§R.5-S11 + §R.6 capability-declaration→"S11 step 2 absence inferred from null, faking support"
R002|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|sc|S12|insufficient_evidence|§R.5-S12 lists three ordered removals with owner host but no deletion consequence is tied to S12's core steps; §R.6 reduction entries concern removed mechanisms, not S12
R004||sc|S01|trajectory_ok|§R4.5-S01 steps 1–5 with owners (host, adapter, extension) and deletion consequences for typed-action and ordered-stream
R004||sc|S02|trajectory_ok|§R4.5-S02 steps 1–5 with owners and deletion consequences for announce, ordered-stream, typed-action
R004||sc|S03|trajectory_ok|§R4.5-S03 steps 1–5 with owners and deletion consequences for ordered-replayable-stream, resource-directory, typed-action
R004||sc|S04|trajectory_ok|§R4.5-S04 steps 1–3 with owners and deletion consequences for resource-lifecycle, typed-action, ordered-stream; host-session-object confirmed dead
R004||sc|S05|trajectory_ok|§R4.5-S05 steps 1–3 with owners and deletion consequences for resource-directory, typed-action
R004||sc|S06|trajectory_ok|§R4.5-S06 steps 1–6 with owners and deletion consequences for namespaces, scope-check, per-namespace action registry
R004||sc|S07|trajectory_ok|§R4.5-S07 announce→no-match→fallback-render sequence with owners (adapter, host) and deletion consequence for generic-fallback-view
R004||sc|S08|trajectory_ok|§R4.5-S08 steps 1–7 with owners and deletion consequences for spawned-resource-grant, explicit-cursor pair-mint, typed-action, namespaces
R004||sc|S09|trajectory_ok|§R4.5-S09 steps 1–3 with owners (host, adapter) and deletion consequences for ordered-stream dedup/reorder and typed-action; candidate self-flags partial (joint double-exec prevention) but trajectory is ordered, owned, and checkable
R004||sc|S10|trajectory_ok|§R4.5-S10 steps 1–4 with owners and deletion consequences for handle force-close and cursor.resolve/replayable-stream
R004||sc|S11|trajectory_ok|§R4.5-S11 informational CapMap + structural CapabilityAbsent sequence with owners and deletion consequence for open-capability-map
R004||sc|S12|trajectory_ok|§R4.5-S12 steps 1–3 with owners and deletion consequences for namespaces/teardown and generic-fallback
R004||ce|FE-CE-007|pass|Sequence: edges.list(ns_B) from h_A returns (ns_B,target) foreign-id to scoped handle
R004||ce|FE-CE-009|pass|Sequence: view on h_R calls subscribe((ns_R,guessed_sibling),cursor) without Result.spawned_resource_id grant
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S01|trajectory_ok|§R4.5-S01 steps 1–5: namespaces.open→announce text.stream→handle_for+typedInvoker send→adapter emits seq 1..n routed→resolver renders; deletion: typed-action→step3 execute(any) disqualifier; ordered-stream→step4 deltas never arrive
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S02|trajectory_ok|§R4.5-S02 steps 1–5: namespaces.open→announce pi kinds→subscribe live→invoke approve/send typed→resolver renders; deletion: announce→step2 no addressable; ordered-stream→step3 unwatchable; typed-action→step4 no approve/send
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S03|trajectory_ok|§R4.5-S03 steps 1–5: subscribe from_cursor=0→close on leave→adapter keeps emitting→return lookup+subscribe cursor.resolve→invoke read snapshot; deletion: ordered-stream→step4 no catch-up; resource-directory→step4 lookup gone; typed-action→step5 snapshot gone
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S04|trajectory_ok|§R4.5-S04 steps 1–3: announce acme.job+register submit/result with spawned→view renders progress→no session/turn/role in any envelope; deletion: resource lifecycle→step1 no job; typed-action→step1 submit undefined; ordered-stream→step2 progress undelivered; confirms host-session-object removal safe
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S05|trajectory_ok|§R4.5-S05 steps 1–3: announce config.tree→directory.list(ns,kind)→invoke read; deletion: resource-directory→step2 fails; typed-action→step3 read fails
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S06|trajectory_ok|§R4.5-S06 steps 1–6: open ns_A/ns_B→both announce job-1 distinct keys→scope-checked handle→ScopeDenied on foreign→per-ns action registry→user pair only; deletion: namespaces→step2 collision; scope-check→step3-4 leak; per-ns registry→step5 shared key FE-CE-006 reopens
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S07|trajectory_ok|§R4.5-S07: announce acme.plot no resolver match→generic view renders kind+actions+CapMap+payload_schema_id label+"no dedicated view installed"; deletion: generic-fallback-view→unknown artefact renders blank
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S08|trajectory_ok|§R4.5-S08 steps 1–7: announce runner+data.ref→handle_for→user pair mints h_R explicit cursor→live ArtifactReady→typedInvoker execute→spawned grant subscribe job→NamespaceGone on teardown re-pair; deletion: spawned-grant→step6 job unobservable; explicit-cursor→step5 stale replay; typed-action→step5 no execute; namespaces→step7 mis-bind
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S09|trajectory_ok|§R4.5-S09 steps 1–3: invoke→OutcomeUnknown no token→reconnect adapter replays host dedups ns,resource,seq cursor.resume→fixed never-auto-resubmit user re-invokes adapter idempotency; deletion: ordered-stream dedup→step2 duplicates reach view; typed-action→step1 no call; honestly labelled partial (joint host+adapter) but trajectory checkable
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S10|trajectory_ok|§R4.5-S10 steps 1–4: view throws→host force-closes handles incl spawned→adapters remain→new view resubscribes cursor.resolve→no core pair record; deletion: force-close→step1 subscriptions leak; cursor.resolve/stream→step3 cannot catch up
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S11|trajectory_ok|§R4.5-S11: announce CapMap cancel/history/resume=not_supported (informational)→invoke cancel→CapabilityAbsent (structural, absent from registry); deletion: open-capability-map→absence inferred from null fake-support disqualifier; fixed enum→reopens FE-CE-002
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|sc|S12|trajectory_ok|§R4.5-S12 steps 1–3: remove adapter→teardown others unaffected; remove resolver→generic fallback; remove paired view→others untouched no core record; deletion: namespaces/teardown→step1 touches shared key-space; generic-fallback→step2 blanks
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-001|pass|Adapter announces passive resource; host has no value primitive forcing seq-ordered message log as sole content path
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-002|pass|Host defines fixed CapSet vocabulary; core fallback renders last envelope as agent/run reading
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-003|pass|Adapter registers replay_policy string; host branches on literal "idempotent-apply" to auto-replay unknown-outcome invokes
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-004|pass|Job resource spawned by paired invoke has no subscription path because handle_for mints exactly one primary
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-005|pass|Pair gesture mints secondary handle; subscribe from_cursor=0 replays stale events auto-executing from history
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-006|pass|Two services register payload_schema_id "Image"; global bare-string key lets one overwrite the other's type
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-007|pass|edges.list on scoped handle returns foreign namespace ids enabling adapter-authorized user-less relay
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-008|pass|ns-scoped payload_schema_id descriptor store has zero host readers after delivery gate removed
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-009|pass|Same-ns subscription rule passes S08 without spawned-set accumulation; spawned-set is over-built
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-010|pass|invoke_id on OutcomeUnknown has no host consumer after auto-resubmit path removed
R005|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|ce|FE-CE-011|pass|implicit-live-default-subscribe is only a parameter default, not a load-bearing mechanism
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S01|trajectory_ok|§R6.5-S01 steps1-5; deletions typed-action step3 and ordered-stream step4 stated inline, namespaces via §R6.6
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S02|trajectory_ok|§R6.5-S02 steps1-5 with announce/ordered-stream/typed-action deletions stated
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S03|trajectory_broken|§R6.5-S03 step4 "subscribe(from_cursor=cursor.resolve(id)); host replays missed stream"
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S04|trajectory_broken|§R6.5-S08 step5 "h_D receives new live ArtifactReady (not replayed)"
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S05|trajectory_ok|§R6.5-S04 steps1-3 with resource-lifecycle/typed-action/ordered-stream deletions
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S06|trajectory_ok|§R6.5-S05 steps1-3; directory+typed-action deletions inline, namespaces via §R6.6
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S07|trajectory_ok|§R6.5-S06 steps1-6; all core deletions stated inline
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S08|trajectory_ok|§R6.5-S07 announce→generic fallback; fallback-view deletion stated
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S09|trajectory_ok|§R6.5-S09 steps1-4; step4 uses from_cursor=0 or read (coherent); never-auto-resubmit/ordered-stream/adapter-dedup deletions stated
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S10|trajectory_broken|§R6.5-S10 step3 "subscribe(from_cursor=cursor.resolve(…)) → catches up"
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S11|trajectory_ok|§R6.5-S11 CapMap not_supported + CapabilityAbsent; open-map deletion stated
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|sc|S12|trajectory_ok|§R6.5-S12 steps1-3 teardown isolation + generic fallback; both deletions stated
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-001|pass|trace passive current-value read of a config/git resource under R006 bytes
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-002|pass|attempt to make the host branch on a fixed capability name and read a run/agent meaning off the fallback view
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-003|pass|register a kind, set a capability string, then trigger host auto-replay of an unknown-outcome invoke
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-004|pass|spawn a job via paired invoke then try to subscribe it
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-005|pass|pair a runner and observe whether replayed stale envelopes re-fire execute
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-006|pass|register the same kind/action name in two namespaces and check for a shared mutable key
R6|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-007|not_applicable|belongs to a discarded alternative, not replayable against these bytes
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-008|pass|look for a host consumer of the ns-scoped payload_schema_id descriptor store
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-009|pass|demand the spawned set be required by an S01-S12 trajectory
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-010|pass|look for a host reader of an invoke_id on OutcomeUnknown
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-011|pass|attempt an implicit live-default subscribe to replay stale events
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-012|pass|construct two envelopes for one resource sharing a (ns,resource,seq) dedup key
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-013|pass|instruct the adapter to dedup by the host-assigned seq it cannot observe
R006|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|ce|FE-CE-014|pass|require a core mechanism to correct out-of-order arrivals
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S01|insufficient_evidence|§R7.5-S01 steps1-5
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S02|insufficient_evidence|§R7.5-S02 steps1-5
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S03|insufficient_evidence|§R7.5-S03 steps1-5
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S04|insufficient_evidence|§R7.5-S04 steps1-3
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S05|trajectory_ok|§R7.5-S05 steps1-3 with owners adapter/host
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S06|trajectory_ok|§R7.5-S06 steps1-6 with owners
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S07|trajectory_ok|§R7.5-S07 + §R7.4 fallback (a)-(d)
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S08|trajectory_ok|§R7.5-S08 steps1-7 with owners
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S09|trajectory_ok|§R7.5-S09 steps1-4 with core+adapter owners
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S10|trajectory_ok|§R7.5-S10 steps1-4 with owners
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S11|trajectory_ok|§R7.5-S11 (open CapMap + CapabilityAbsent)
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|sc|S12|trajectory_ok|§R7.5-S12 steps1-3 with owners
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-001|pass|announce passive resource; invoke("read")→typed snapshot; fallback renders snapshot field rows (§R7.5-S05 step3 / §R7.4(d))
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-002|pass|render an unknown kind with CapMap {cancel:not_supported}; fallback shows kind+actions+CapMap+schema label+read snapshot (§R7.5-S07)
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-003|pass|invoke an action on a resource whose CapMap lacks any idempotent/invoke key; host does not auto-resubmit
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-004|pass|invoke submit→Result{spawned_resource_id}; h_R.subscribe((ns_R,job), from_cursor=0)
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-005|pass|pair gesture → h_R.subscribe(runner, from_cursor=cursor.resolve) → later subscribe(job, from_cursor=0)
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-006|pass|two services announce same kind+action name; register under separate ns
R7|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-007|not_applicable|belongs to a discarded alternative, not replayable against these bytes
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-008|pass|render unknown payload_schema_id; check for a host type-registry consumer
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-009|pass|subscribe a same-ns spawned resource and run S06/S08 without a per-handle spawned set
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-010|pass|invoke drops pre-ack → OutcomeUnknown → reconnect
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-011|pass|call subscribe without supplying from_cursor
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-012|pass|two producers emit same-resource envelopes; look for host dedup by (ns,resource,seq)
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-013|pass|adapter reconnect dedup
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-014|pass|two producers deliver out of order; look for host reorder
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-015|pass|one subscribe declaration intended to yield both full-catch-up and live-only
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-016|pass|spawn→adapter pumps seq=1 inside invoke→subscribe just-spawned job
R007|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-017|pass|save seq=20 under ns_A → full reconnect mints ns_B (streams restart at 1) → return subscribe
RR008|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|ce|FE-CE-007|not_applicable|ruled against the saved candidate, belongs to a discarded alternative
R008|49df1e9345ab1f5c30f7fb2ffbb3306780ac0f45a318e3626b090ae0c9af9bc8|sc|S01|trajectory_ok|§R8.5 S01 steps 1-5 table; ordered open→announce→invoke→pump→subscribe; owners: Host, Adapter, Extension, Adapter, Extension; deletion for each core step stated (namespace, announce, typed-action, pump, cursor-stream)
R008|49df1e9345ab1f5c30f7fb2ffbb3306780ac0f45a318e3626b090ae0c9af9bc8|sc|S02|trajectory_ok|§R8.5 S02 steps 1-5 + pump row; owners: Adapter, Adapter, Extension, Extension, Extension, Adapter; deletion for namespace, announce, cursor_resolve, typed-action, ordered-stream, pump stated
R008|49df1e9345ab1f5c30f7fb2ffbb3306780ac0f45a318e3626b090ae0c9af9bc8|sc|S03|trajectory_ok|§R8.5 S03 steps 1-5 + step 4-alt; owners: Extension, Extension, Adapter, Extension, Extension; deletion for cursor-stream, Envelope.seq, pump, same-ns rule, typed-action stated
R008|49df1e9345ab1f5c30f7fb2ffbb3306780ac0f45a318e3626b090ae0c9af9bc8|sc|S04|trajectory_ok|§R8.5 S04 steps 1-6 table + no-chat proof; owners: Adapter, Extension, Adapter, Extension, Adapter, Extension; deletion for typed-action, namespace, pump, cursor-stream, ordered-stream, resource-directory stated
