mechanism|disposition|failure_scenario|experiment_ref|round
per-namespace-action-typing|core|S06 step5 shared mutable key→FE-CE-006 reopens|§R8.5-S06|8
monotonic-cursor-stream|core|S03 step4 no catch-up / S10 step3 no replay|EXPERIMENT3|8
cursor.resolve|core|S08 step4/5 runner forced to replay history (FE-CE-005 reopens)|§R7.5-S08;§R7.6|7
ns-scoped-action-typing|core|S06 step5 shared mutable key reopens FE-CE-006|§R7.5-S06|7
never-auto-resubmit|core|S09 step4 host replays the command -> double execution|§R11.7-S09|12
from-cursor-input-selection|core|FE-CE-016 head loss (spawned→0) / FE-CE-017 ns-regen guard (else saved+1 skips window)|§R7.2;§R7.6 EXPERIMENT|7
replay_mode|removed|none — subscriber-chosen from_cursor passes S03/S04/S08/S10|EXPERIMENT3|8
subscription-last-seq-accessor|removed|none — Envelope.seq carries persist position|§R8.5-S03|8
ns-scoped-payload-descriptor-store|removed|none — payload_schema_id opaque; FE-CE-008 closed|§R8.2|8
cursor_resolve|core|S08 step4 runner forced to replay -> FE-CE-005 / S02 step3 live edge unexpressible|§R11.3|12
generic-actionable-fallback-view|core|S07 unregistered renders blank / S12 removed resolver blank|EXPERIMENT2|8
envelope-seq-stream-index|core|S03 step2 no position to persist / S01 step4 no ordering|EXPERIMENT1|8
pump|core|S01 step4 adapter cannot deliver; S04 step3 head never enters stream|§R8.6 FE-CE-018|8
host-turn-role-envelope-field|removed|none — Envelope has no such field; S04 passes|§R11.2|12
host-dedup-ns-resource-seq|removed|none — vacuous; S09 via adapter dedup|§R8.5-S09|8
cursor-stream-log|core|S03 step4 backlog empty and no catch-up / S04 step4 head unreplayable / S10 step5 no replay|EXPERIMENT R11-A|12
typed-action (read/status)|core|S05 step4 no current value / S11 step3 cannot answer absence structurally / delete -> execute(any)|§R11.7-S05,S11|12
four-variant-outcome-rendering|core|FE-CE-019 and FE-CE-023: an unconfirmed outcome rendered as a current value or an available action is the hide-uncertainty disqualifier|EXPERIMENT R11-B|12
generic-walk-totality|core|FE-CE-020: a partial or null-for-list Result renders fake-complete or blanks the pane without an explicit row|EXPERIMENT R11-C|12
recursive-path-labelled-walk|core|FE-CE-021: a nested declared schema mis-renders, and any depth contract leaks a host renderer internal into the adapter schema obligation|EXPERIMENT R11-C|12
presence-is-not-reachability|core|FE-CE-023: a dead producer's resource advertises a live cancel capacity indefinitely|§R11.4|12
from-cursor input-selection|core|FE-CE-025: choosing the live edge for a resource this extension just created pumps the events above the replay filter / S04 step6 spawned head loss FE-CE-016 / ns-regen skip FE-CE-017|EXPERIMENT R12-B|12
per-namespace action typing|core|S06 step5 shared mutable key -> FE-CE-006 reopens|§R11.6|12
envelope-dropped-on-subscription-close|removed|FE-CE-024: deleting this clause is what makes catch-up possible; retaining it empties the backlog catch-up replays|EXPERIMENT R11-A|12
adapter-flat-schema-obligation|removed|FE-CE-021: deleting it removes the core-internal leak, and nothing fails because the walk is recursive and total|EXPERIMENT R11-C|12
host-dedup / host-reorder-by-seq|removed|none — vacuous under an arrival index; the adapter dedups by its own stable id|§R11.6|12
invoke_id on OutcomeUnknown|removed|none — no auto-resubmit and no consumer|§R11.7-S09|12
resource-incarnation-burn|core|FE-CE-027: without burning a retired local_id, a re-announced resource silently re-points a persisted cursor and the catch-up renders complete with the new incarnation's first events missing|EXPERIMENT R12-A|12
view-scope-minting|core|FE-CE-026: with no declared mint, no scenario's extension side can obtain a SubscriberScope, and the isolation rule has no handle to be scoped to|EXPERIMENT R12-C|12
extension-selection|core|S07 step7 / S12 step3: with no selection rule an unclaimed schema has no renderer (blank pane) and an uninstalled view keeps claiming it|§R11.5|12
