id	worktree	branch	state	terminal	depends_on	dependency_condition	document	progress	source	note	closed_or_delivered_at
52	env-provider	feature/env-provider-v1	PARTIAL		50	Stage A (per-family observation) may run any time; B-D serialize with 47/48 and must run in the same pass as 51 so both facts share one wire relock.	work-orders/52-session-process-facts.md			The process facts a ZCode/Codex-style transcript needs already exist upstream and are being dropped: the ACP schema's sessionUpdate vocabulary is agent_message_chunk, agent_thought_chunk, tool_call, tool_call_update, plan_update, plan_removed and current_mode_update, while the bridge and the Server'	
53	env-provider	feature/env-provider-v1	(unstated)		51	Needs order 51's usage facts in the ledger; the query surface may ride the same wire relock as 51 and 52 if the timing allows.	work-orders/53-usage-aggregation.md			Generic statistics over the ledger: token usage aggregated by model, session and time range, with export. Cost is optional and only appears when a real, auditable unit-price source exists - no built-in price tables, no estimation, unknown stays unknown, and an export that never contains credential c	
54	env-provider	feature/env-provider-v1	PARTIAL		50	Stages B-D touch the same channel files as 47 and 48, so the executor serializes them.	work-orders/54-turn-file-change-set.md			The per-turn file change set (which files changed, with +N/-M) - the data behind the diff card on the desktop. Deliberately harness-independent: it is computed from a bounded before/after manifest of the declared workspace on the execution side rather than by parsing any harness's tool payloads, whi	
55	env-provider	feature/env-provider-v1	PARTIAL		50	Folds into the same wire relock as 51/52/53; stages B and later serialize with 47/48 on the shared files.	work-orders/55-provider-model-record-and-probe.md			Provider and model records become facts instead of three hand-typed strings: base URL, auth style, wire style, and per-model context window plus capability toggles, each field storing its provenance so the UI can show whether it came from a preset, a fetch, or the user. Two bounded probes arrive wit	
56	env-provider	feature/env-provider-v1	(unstated)		45;50	Folds into the same wire relock as 51/52/53/55; it relies on order 45's native-home-as-authority model, so it lands after that.	work-orders/56-subscription-credentials.md			Subscriptions become a credential kind beside api-key, but the login state is NOT kept in the native home: it is a managed asset in the control plane (encrypted in the SecretStore), materialised into the profile home per turn as a writable working copy and reclaimed at the end, which makes hot switc	
57	env-provider	feature/env-provider-v1	(unstated)		50	Folds into the same wire relock as 51/52/53/55/56; stage A observation (available sources per family, whether each self-updates) can start any time.	work-orders/57-harness-artifact-management.md			Harness programs become product objects: an installed set per family (version, tree digest, source, size, entry count, install time), a catalog of available versions synced into the control plane so the UI paints immediately, and install, update and rollback as explicit user actions. Versions live i	
58	env-provider	feature/env-provider-v1	(unstated)		45;50	Folds into the same wire relock as 51/52/53/55/56/57; it builds on order 45's read-only projection model and on the registry slots already declared per family.	work-orders/58-asset-hubs.md			The asset layer that the storage design already called for, now with a converged format: skills are stored as Agent Skills (a directory per skill with SKILL.md, frontmatter name and description, resources alongside - the repo carries the spec and points at agentskills.io), and MCP servers as the sta	
59	env-provider	feature/env-provider-v1	(unstated)		45;50	Folds into the same wire relock as 51/52/53/55/56/57/58; the trigger facts share order 52's bounded capture and scan rules.	work-orders/59-hook-models.md			Hooks are three different kinds of thing and this order refuses to flatten them: Claude Code is declarative (event to matcher group to handlers, with a large event catalog, five handler types, per-event timeouts, stdin JSON in and exit-code plus JSON out, and a read-only /hooks menu of its own); Cod	
60	env-provider	feature/env-provider-v1	PARTIAL		55;58	Folds into the same wire relock as 51-59; needs the provider/model records (55) and the asset layer (58) to have surfaces before the profile can bind them.	work-orders/60-profile-settings.md			The profile becomes the single binding point for every asset - model slot, credential or account reference, skills, MCP servers, hooks, an instruction asset, and per-tool permission rules - with the per-tool rule vocabulary taken from the reference: read/edit/bash/task/external_directory/webfetch/sk	
65	env-provider	feature/env-provider-v1	PARTIAL		58;60	Needs the MCP materialisation of 58 and the profile authorisation and permission rules of 60; folds into the same wire relock as 51-64.	work-orders/65-profile-as-subagent.md			A profile can call another profile as a subagent through two fixed MCP tools. The contract is copied from the convergent shape of native subagent invocation, established first-hand on 2026-09-17: the majority (Claude Code Task {subagent_type, prompt, description}, OpenCode task {description, prompt,	
66	env-provider	feature/env-provider-v1	DISPATCHED		45	Needs order 45's session-store mechanism and per-family classification (landed at 717a643/20d66d6), not 45's blocked G3. It amends order 60's G6 and stage E for	agent-box-env-provider:docs/implementation/work-orders/66-shared-session-store.md@5523463			The user rejected moving sessions between profiles and chose the reverse: keep the session store where the harness puts it and move everything else. Concretely, the session library is shared per family while every execution materialises config, credentials, model slot and permission rules from the c	2026-09-19
67	env-provider	feature/env-provider-v1	DISPATCHED		45	Needs order 45's session-store mechanism and clears order 45's one unmet gate (G3, two parallel turns of one profile), which the product-layer execution lock wa	agent-box-env-provider:docs/implementation/work-orders/67-per-session-admission.md@5523463			The user ruled on 2026-09-18 that one session may only ever be advanced by one profile at a time, and that forbidding two sessions of the same profile is unreasonable. The exclusivity unit becomes the session, not the profile. This is not a relaxation but a correction toward the semantics already ru	2026-09-19
P21	desktop-chat	feature/agentbox-desktop-product	DISPATCHED		58;59;60;62;63;64	Backend 58-64 landed; the frontend must align its wire digests with the backend's last relock and wire the four new read-only surfaces.	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P21-wire-relock-and-new-surfaces.md@e430ac40			The desktop subtree's recorded wire digests (2026-09-17: 774640498429ca9f.../14f7f736...) are behind the backend's later relocks, and orders 58-64 each asked for a frontend sync plus a two-repo relock. P21 pins the backend's last pair first-hand, regenerates the artifact, and wires the Git card, the	2026-09-19
083	env-provider	feature/env-provider-v1	PARTIAL	WSL_LEGS_62_64_PARTIAL		Delivered into the backend subtree; the charter there carries the order and batch.	agent-box-env-provider:docs/implementation/work-orders/083-wsl-legs-62-64.md@ba5c4f1			62/64 的 WSL 真腿（068 降 PARTIAL 的原因）	2026-09-19
087	env-provider	feature/env-provider-v1	DISPATCHED			Delivered into the backend subtree; the charter there carries the order and batch.	agent-box-env-provider:docs/implementation/work-orders/087-cancel-recall-flake.md@ba5c4f1			G8 取消/召回间歇：N≥20 轮统计 + 根因或边界判据	2026-09-19
089	env-provider	feature/env-provider-v1	DISPATCHED		082(agent-box-env-provider tree：082-ledger-4);090(agent-box-runtime-round1 tree：090-placem);091(agent-box-runtime-round1 tree：R-0056 判据成)	Delivered into the backend subtree; the charter there carries the order and batch.	agent-box-env-provider:docs/implementation/work-orders/089-four-real-ui-gates.md@cc764a1	轮 114 更正并放行：**`R-0056`（用户 19:56 拍，答复 `AQ-0011`，commit `eb034bf`）**——`089` 的开工谓词**按合同原文字面读**：① `rulings.md` 存在 `R-0055`（选 B）② runtime 树 `status.md` 的 `CP1 c1` 记账写着 `091` 的**传输无关引擎 + 进程内 G1–G4 已绿**（`PAR		"四家真实 UI 门（最终验收；Server 须在 WSL 侧）｜2026-09-19 修订 v2：收窄为 pi+codex 两家、前提改为 Windows 控制面（R-0014）、依赖 090/091、成本纪律 R-0017；其余家见 100｜b2-2 批末（A 线 `beee590` 14:12）不声明任何终态码：三条第一手理由＝091 仍 PARTIAL、门的宿主是 Windows 控制面（R-0014）、R-0033 的窗口口径正在公告 101 轮点名里待定；要人跑的腿＝部署/连接/两家各一轮/失败路径/ui-gates-89 证据目录 ⇒ R-0045（用户：""1 按你说的来；2 他不"	2026-09-19
P24	desktop-chat	feature/agentbox-desktop-product	DISPATCHED			Delivered into the desktop subtree; Q2's batch is defined in its charter.	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P24-sidebar-row-and-remote-icon.md@9300c4c5			侧栏行窄宽度重叠 + 远程指示换云朵 + 状态行不说假话（含实测盒数据） **第 143 轮更正（`OF-16` v5 抓到）**：`write_paths` 原为**后端树路径**（`src/agent_box/**`/`plugins/**`/`tests/**`/`scripts/server-round1/**`/`docs/server-round1/**`）——那是 `R-0054 ⑧(b)` **只改了 `worktree`、漏改 `write_paths`** 的残留（单文件本身早已是桌面树路径）⇒ 现改为与该单文件一致的桌面树路径。	2026-09-19
P25	desktop-chat	feature/agentbox-desktop-product	DISPATCHED			Delivered into the desktop subtree; Q2's batch is defined in its charter.	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P25-probe-gating.md@9300c4c5			"探测面门判断/文案：后端已实现却恒说""没有这个方法"" **第 143 轮更正（`OF-16` v5 抓到）**：`write_paths` 原为**后端树路径**（`src/agent_box/**`/`plugins/**`/`tests/**`/`scripts/server-round1/**`/`docs/server-round1/**`）——那是 `R-0054 ⑧(b)` **只改了 `worktree`、漏改 `write_paths`** 的残留（单文件本身早已是桌面树路径）⇒ 现改为与该单文件一致的桌面树路径。"	2026-09-19
091	runtime-r1	feature/env-provider-runtime	PARTIAL	CONTROL_PLANE_SYNC_PARTIAL		Delivered into the backend subtree under ruling R-0012.	agent-box-runtime-round1:docs/implementation/work-orders/091-control-plane-sync.md@b7ca376	" **子树 c1 报告：091 PARTIAL**——传输无关的同步引擎已落地（首部署清单/逐项摘要、按 (kind,id,version,digest) 幂等增量、执行侧本地改 ⇒ `CONTROL_PLANE_AUTHORITY`、凭据内容结构上不可入集合）；**交回的架构问题**＝执行侧要持久留存同步记录，只有 ①`home.put`（落原生 home，与本单""不同步 home""冲突）或 ②"		R-0012：控制面以 Windows 为准，首次部署 + 增量同步；凭据只留 Windows，按执行一次性投影（执行侧零命中）	2026-09-19
P27	desktop-chat	feature/agentbox-desktop-product	DISPATCHED			Delivered into the desktop subtree; pairs with backend 090.	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P27-carry-environment.md@e43ee716			Carry the workspace environment with the session and execution request, and replace the stale 'WSL workspaces are not part of this round' gate text. **第 143 轮更正（`OF-16` v5 抓到）**：`write_paths` 原为**后端树路径**（`src/agent_box/**`/`plugins/**`/`tests/**`/`scripts/server-round1/**`/`docs/server-round1/**`）——	2026-09-19
092	runtime-r1	feature/env-provider-runtime	PARTIAL	PROVIDER_REGISTRY_PARTIAL		Delivered into the backend subtree under ruling R-0013 (model settings two layers); design text is docs/server-round1/model-settings-two-layer-design.md in the 	agent-box-runtime-round1:docs/implementation/work-orders/092-provider-registry-and-protocols.md@27fd2a8	**轮 118 收口（runtime `6df2213`）**：阶段 1–5 全落地（canonical 协议词汇、模型事实、描述符 `wire_protocols` 逐家声明、派生与冻结、账），`Spend：0 真调用 / ¥0`（全合成输入与本机回环，凭据 locator 未访问）。**终态 `PROVIDER_REGISTRY_PARTIAL`**，精确剩余三项**全在执行者边界外、已按 o		R-0013 layer 1: harness-agnostic provider records, canonical four-protocol vocabulary, model facts, descriptor wireProtocols, read-time compatibility, PROTOCOL_INCOMPATIBLE at freeze	2026-09-19
093	runtime-r1	feature/env-provider-runtime	DISPATCHED		092	Needs 092's protocols/endpoints on the record and the descriptor's wireProtocols; without them only its observation stage can run.	agent-box-runtime-round1:docs/implementation/work-orders/093-native-config-materialization.md@27fd2a8	" @轮107：阶段 1 已提交 900d80d 15:33（逐家原生配置写点/键位层级/协议方言/限额字段一手核清） ⇒ **轮 125**：**测试补强已提交 `312be9e`**（""freeze → native bytes 端到端（经真 service/repository，非手搓 frozen）""）。"		R-0013 layer 1, execution side: the frozen provider/model/endpoint/protocol written into each family's native config; key positions pinned first-hand or typed refusal	2026-09-19
P28	desktop-settings	feature/agentbox-desktop-settings	PARTIAL	PROVIDER_PAGE_PARTIAL	092	Needs 092's relocked contract (harness optional, protocols/endpoints/model facts/compatibility); Q3 is defined in the desktop tree's charter.	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P28-provider-page-redesign.md@5a896d69	"**轮 157 对账（ops 一手读本树 `status.md`）**：**阶段 1 已落**（`protocols`/`endpoints` 已编进本树合同并重锁，新对 TS `763758f0…`/工件 `2dd26561…`，旧对重放逐字节复现），本树 `:276` 明写 **""下一位＝`P28` 阶段 2（页面重做，显示已绑定的事实；写面等 `H-015`）""** ⇒ 按 `PARTIAL"		R-0013 layer 1 UI: settings Models page becomes Providers (upstream ingress only, no consumer surface, fetch-upstream-models + pick-to-add)	2026-09-19
P29	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED		092;093	Needs 092's contract and 093's execution-side wiring; until 093 lands the page must not claim the configuration takes effect.	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P29-harness-config-in-profile.md@5a896d69			R-0013 layer 2 UI: provider/model chosen inside the profile (compatibility-filtered) plus the harness's own native controls	2026-09-19
094	runtime-r1	feature/env-provider-runtime	DISPATCHED		092	Needs the provider record's subscription-login authStyle and the harness-side declarations; without 092 only the engine and its fake-endpoint path can run.	agent-box-runtime-round1:docs/implementation/work-orders/094-subscription-login-engine.md@f02a4fa			R-0013 subscription login 1/2: the device-code engine runs on the Server, tokens go only into the secret store, Codex's harness-shaped login end to end, LOGIN_FLOW_UNSUPPORTED for unpinned families	2026-09-19
095	runtime-r1	feature/env-provider-runtime	DISPATCHED		094	Needs the login engine and the account-asset landing path from 094.	agent-box-runtime-round1:docs/implementation/work-orders/095-provider-logins-and-account-lifecycle.md@f02a4fa			R-0013 subscription login 2/2: provider-shaped logins (Copilot/xAI/Google) as in-place-rotated oauth credentials, refresh with typed relogin_required, per-family quota with cc-switch's failure semantics, and the subscription model listing that is not /v1/models	2026-09-19
P30	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED		094;095	Needs 094's login methods and 095's quota/refresh surfaces; the quota block ships with 095 and stays absent until its fields exist.	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P30-subscription-login-surface.md@5a896d69			R-0013 subscription login UI: device-code panel, account rows with facts and quota semantics, and one accurate sentence instead of a dead button for families with no registered flow	2026-09-19
096	runtime-r1	feature/env-provider-runtime	DISPATCHED		092;093	Needs 092's model facts and multi-control declarations plus 093's native-config writers.	agent-box-runtime-round1:docs/implementation/work-orders/096-native-reasoning-controls.md@06ff1ea	" ⇒ **轮 122**：**阶段 1（思考旋钮）已提交 `a46b1a5`**（21:22）。**注意**：它是在主路径 `120/122` 之前做的 ⇒ 见章程 §3 的优先级覆盖。 ⇒ **轮 123 补细节（本树 status 原文）**：`096 整体仍 PARTIAL`——`config.describe` 的**生效域投影＝A 线 wire**（本模块只决定""何值合法""）；逐家 `c"		The reasoning knob is harness-bound, its value domain is model-bound: declared per family, derived from model facts translated into that family's dialect, or the family's pinned enumeration, or not declared at all	2026-09-19
P32	desktop-chat	feature/agentbox-desktop-product	PARTIAL	SEND_PATH_HONESTY_PARTIAL		Delivered into the desktop subtree; Q2 addition because the user reported lost messages and silent failures.	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P32-send-path-honesty.md@7d56d4fe	阶段 1–6 全部落地（`f00b9cda` 阶段 5、`43fbb5d2` 阶段 6 真服务 r17：15 PASS / 1 FAIL / 2 FINDING + 截图 7 张）。终态 **`SEND_PATH_HONESTY_PARTIAL`**：剩余＝G2 三类拒绝的活体转录、unknown 轮活体注入、G4 采纳（被后端缺口挡 ⇒ 已转 **110**）。**交回的三条后端事实**：#1 		Clear the draft only on acceptance, surface every typed reason with its code, restore the exact draft and attachments on failure, make a queued send visible in the thread, and give failed or unknown turns an error row with a retry	2026-09-19
P33	desktop-chat	feature/agentbox-desktop-product	PARTIAL	SIDEBAR_SERVICE_WORKSPACES_PARTIAL		Found by the live trial: the sidebar lists app-side folders only, so a service-side workspace is unpickable.	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P33-sidebar-shows-service-workspaces.md@b0d67f7f	**轮 155 对账修正（ops 一手）**：本树 `docs/desktop-product-delivery/status.md` 的 `:2594`／`:2683` 两处已记 **「P33 ✓（仅剩真服务转录）」** ⇒ 不是 `DISPATCHED`，而是 **PARTIAL**：主体已完成，**唯一剩余＝真服务转录那一条腿**（要活的试用 Server，同 P32/P37 的环境）。**		The sidebar shows the service's own workspaces (single truth), selectability comes from the service's facts with its typed reason, and selecting one no longer requires an app-side project id	2026-09-19
P34	desktop-settings	feature/agentbox-desktop-settings	PARTIAL	LINT_HYGIENE_PARTIAL		User approved opening it (Q2 checkpoint item 5).	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P34-lint-hygiene.md@b0d67f7f	子树账（B 树 status + checkpoint R1 报告）：门内 11 个 error **全清、0 保留**（0 error / 206 warning）；typecheck/build 0、tests-js 47/47、desktop vitest 10360 passed（+5 既有环境红，与本 diff 零交集）。**PARTIAL 原因**：工单的「全树口径」第二判据与事实偏差		Clear the eleven pre-existing eslint errors without widening the config, so the lint gate stops being a permanently red baseline	2026-09-19
P35	desktop-settings	feature/agentbox-desktop-settings	PARTIAL	THOUGHT_IN_TRANSCRIPT_DONE			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P35-thought-delta-in-transcript.md@b03610c7	**轮 117 补登（`OF-12`）**：本单在被执行时**不在** `manifest.orders[]` 里（我更新它 progress 时撞 `KeyError: 'P35'` 才发现）。状态以该树为准：**阶段 1 已提交 `b03610c7`**（`thought.delta` 不带 `messageId` ⇒ 归属只能由投影定；`wire-session-projection.ts:	桌面第一版清单（settings 线；**补登**：原未在 manifest，见 OF-12）		2026-09-19
099	env-provider	feature/env-provider-v1	RATIFIED_DISPATCHED		086	086 阶段 2 的第一手发现（Worker 的 home.put 未接分发线）；**本单由执行者自起草、调度者 2026-09-19 追认**（内容与门保留；契约与编号此后归调度者）。	agent-box-env-provider:docs/implementation/work-orders/099-worker-home-put-dispatch.md@cc764a1			执行者自起草（动机正确：不越 write_paths），调度者追认；纠正：编号从 100 起由调度者给、ruling 依据应为 086 发现 + R-0011	2026-09-18
100	runtime-r1	feature/env-provider-runtime	DISPATCHED		089	089（pi+codex 两家）绿后再扩面（R-0015）。	agent-box-runtime-round1:docs/implementation/work-orders/100-real-ui-gates-remaining-families.md@c21f8f2	 ⇒ 轮 114：`089` 已按 `R-0056` 开工（谓词成立）⇒ 本单的谓词（`089` 收口）仍待其完成。 ⇒ **轮 119**：`depends_on` 的 `089` 改带钉住条件；正文里「089（修订 v2）」这处**引用他人修订**的措辞改写（避免校验器误判为本单被修订，语义不变）。		其余家（hermes/opencode/claude-code/dsh/kilo/qwen）的真实 UI 门；成本纪律＝假端点优先（R-0017）	2026-09-19
P36	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED		086;P32	子代理真链走通（086 stage 2 已绿）；工具行/失败呈现的既有基础（P32）避免两套并存。	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P36-subagent-run-visibility.md@df9b58b8	**收口 `98c0578d`（PARTIAL，`SUBAGENT_VISIBILITY_PARTIAL`）**：两例把面板走**真 ingest 路径**（`EventFrameSchema.parse` → 真投影 → 真组件）⇒ 结算一条委派必须移除卡片（夹具造的行走不到这一格）。四计数：typecheck 0／lint 0 error·206 warn／build 0／vitest **1	检查表 B7 + Stage 3 主线	子代理运行可见性：工具行带目标/子会话/状态、在跑列表、嵌套树（可得则树，不可得标层级未知）、审批点名发起者；参考依据已备	2026-09-19
P37	desktop-chat	feature/agentbox-desktop-product	PARTIAL	PILL_RESTORE_PARTIAL	P32	同一片 composer 面的近邻改动，排在 P32 之后避免撞车。	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P37-pill-restore-resolves-display-name.md@ec3d570f	**轮 155 对账修正（ops 一手）**：本树 `status.md` `:2594`／`:2683` 已记 **「P37 ✓（仅剩重启前后读数）」** ⇒ **PARTIAL**：主体已完成，**唯一剩余＝重启前后读数**（同族环境依赖）。**同 P33：此前 manifest 停在 `DISPATCHED` 是我的账滞后**。	AUD-F-006	恢复路径的模型 pill 要解析显示名（不再回落裸 opaque id）；缺记录时显示 not-declared 语义	2026-09-19
P38	desktop-chat	feature/agentbox-desktop-product	DISPATCHED			审阅者 AUD-F-007（confirmed/low）；Q3 尾部的卫生项。	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P38-a11y-unnamed-button-and-focus-order.md@e5559c23	" ⇒ **轮 122**：聊天树已提交 `445b98ba`（""name every interactive…""，21:24）⇒ 该树 a11y 命名项推进。"	AUD-F-007	无名按钮补可访问名（或标为装饰并移出焦点序）+ 版本标签不占 Tab；扫描门 + Tab 序断言	2026-09-19
P41	desktop-chat	feature/agentbox-desktop-product	SUPERSEDED		P32	同属 composer/transcript 面；排在 P32 收尾之后。	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P41-acceptance-round1-ui-defects.md@4cfc284b		用户验收第 1 轮	原 P41 已被 R-0021 ② 按面拆开：P41a（A 线：`Harness:` 前缀 + 侧栏配色）／P41b（B 线：Retry 路径）；本条目留作历史，不再执行。	2026-09-19
107	runtime-r1	feature/env-provider-runtime	DISPATCHED			R-0020 ② 的拆分前半；拆单是因为'打开思考'极小且卡着 A 线 P35，而旋钮/取值域/落盘要动 092/093 的面。	agent-box-runtime-round1:docs/implementation/work-orders/107-thinking-on-in-templates.md@ddde188		R-0020 ②	R-0020 ② 的拆分前半（编号空间要求三位数 ⇒ 文件名 107；`096b` 沿用原 096 文件）：pi/dsh 生产模板的思考写死关闭 ⇒ 打开（配置层）+ 门「真一轮出现 thought.delta」；maxTokens 不动（AQ-0004 待批）；A 线 P35 等本单。	2026-09-19
P43	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED		P42	同属 composer/transcript 面，紧随 P42（R-0020 ③ 的顺序）。	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P43-tool-cards-and-diff.md@58cdcd2e	 ⇒ **轮 117**：**阶段 5（1/2）已提交**（settings 树 `ebd4a154` 19:52，空载重跑四项检查）。 ⇒ **轮 128**：本树 status 记 `TOOL_CARDS_DIFF_PARTIAL`（阶段 1–5 全勾；**精确剩余＝点击级真栈转录一项**）。	R-0020 ①	工具卡结果展开/折叠 + 变更文件卡与单文件 working-tree-vs-HEAD diff 接到 AgentBox 路径 + 不可用/失败两态；硬要求复用 fallback/changed-files-card/fileDiff，不许重造。 ⇒ @轮109：阶段 4 门测试已提交 `e091b367` 16:49（local/remote/failure 各一条＋计数）⇒ settings 线第一版清单的钥匙接近收口	2026-09-19
P41a	desktop-chat	feature/agentbox-desktop-product	PARTIAL		P32	同属 composer/sidebar 面，排在 P32 收尾之后。	agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P41a-harness-prefix-and-sidebar-colour.md@acfa8401		R-0021 ②（原 P41 拆分）	`Harness:` 前缀（一级项只显示 harness 名）+ 侧栏配色**可逆**（全屏往返后与基线逐项一致；只压样式不改状态源必须门红）。 ⇒ 修订已投递（不是只发公告）：聊天树 acfa8401 把两个 electron 文件写进 write_paths（不放行 electron/** 整片），阶段 3 解除阻塞	2026-09-19
P41b	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED		P32	P32 阶段 1–5 已落地；只改失败行的动作。	agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P41b-retry-path.md@85dd94d3		R-0021 ②（原 P41 拆分）	Retry 优先真重发；不能发则**替换**草稿 + 类型化原因；连续点击不叠字（反例门：退回静默插入必须红）。	2026-09-19
